text,author,likes,replyCount,encoded
"If a Palestinian released this video about the US we would have world war 3, scary how much of a double standard people have.",@Galactic2564,1,0,"[-0.06274184, -0.07754401]"
🥰🥰🥰🥰🥰,@aliazad4833,0,0,"[-0.010790561, 0.037765387]"
Gaza is not for anyone to just take it!,@sumanshaikh7227,2,0,"[0.038586956, -0.04720587]"
Yep… we’re living in Bizarro Land 🤦🏾‍♀️,@IfeanyiCOshun,1,0,"[0.027988242, -0.013885998]"
He is worse than Dwayne Elizondo Mountain Dew Herbert Camacho!,@SuperLetout,0,0,"[0.03472706, -0.038561314]"
Time to book a flight 🎉,@Sadist8668,2,1,"[0.018279836, -0.036432736]"
CATCHY,@zerostore1617,0,0,"[-0.04550344, 0.051531274]"
"He is bat shot crazy! I don’t care if it was AI… he chose to post this on his platform. It doesn’t only say something about him. It says everything I need to know about a country I used to love. And ”America first” both north, central and south”? The U.S is a very small part of the americas so welcome to fix all and shut up about ”America” if you are just talking about the U.S!",@Caspianandersson,1,0,"[0.0048447666, 0.054509476]"
What a Joke  !!!,@ToddnBilly,3,0,"[0.012499838, -0.023354547]"
Nope don't like the golden statue s of Trump those are nothing but adols . Other than that I'm all for Trump,@danasmith8557,0,0,"[0.0042467252, -0.039477896]"
I thought the United Arab Emirates was the Riviera of the Middle East.,@TheRealScottGilbert,0,0,"[0.006425182, -0.035397295]"
since covid everything feels like a fever dream,@alans1772,2,0,"[0.038521066, -0.009439472]"
WHAT THE F!!!!! 🤬🤬🤬🤬🤬🤬🤬,@mrubio322,0,0,"[0.01162944, -0.02426743]"
😂,@Jazzmohio,0,0,"[-0.010790561, 0.037765387]"
Peak,@JosipTito2,1,0,"[0.036448497, 0.0219128]"
Great idea Nice,@Witold-u6f,0,0,"[-0.06835861, 0.0061917314]"
LOL,@ogpeacemasters5888,2,0,"[-0.03292337, -0.020432122]"
This world is a prison,@crimsoncrisp8708,4,1,"[-0.048385438, 0.013505192]"
Hysterical! This video makes me laugh every time I see it! Epic!! 😂❤😂❤,@Momofboys95,0,0,"[-0.052135024, -0.037832253]"
ya muntaqim,@molly3828,0,0,"[-0.031868625, 0.0056030434]"
They did say he was a disruptor. 😂,@toddarehart1749,0,0,"[-0.0009292909, 0.0029169447]"
YES!!!,@asscracbelfrage,0,0,"[-0.030124838, 0.0058285557]"
the Palestinians  could have had a paradise; instead they spent Billions on weapons & terror tunnels....,@joangordoneieio,2,0,"[0.039754774, -0.047156885]"
STOP IT!!,@TrumpShow2025,0,0,"[-0.0036649252, -0.029934201]"
Brilliant!,@wingrove79,1,0,"[-0.053618748, -0.013987784]"
This is beyond psychotic. ...,@miguelfagan8537,1,0,"[0.029764699, 0.023400266]"
"Whats funny about this, is that Trump made a bluff on this and Egypt, Qatar and the UAE stepped in and handled it. He got Gaza fixed without even spending a cent. Art or the Deal, baby!!",@danahessler2105,0,0,"[0.045958694, -0.07051414]"
"Yup,the new ,Epsteinville!",@JoeCosenza-r5r,1,0,"[0.006395332, -0.022258628]"
Gaza is not in sale!,@AlessandroMAgno-b9m,0,0,"[0.03243979, -0.03213255]"
0:15 why do the men in drag look like the brothers from opal in sky,@OGpenguinBTW,0,0,"[0.008299633, 0.008370063]"
Time to open your bibles and repent all you non believers are running out of time.,@danielsals5770,2,1,"[-0.00093085377, -0.020778775]"
This man is not well,@vinceabruscato2319,2,0,"[0.03840034, -0.002251396]"
Some one wake me up. Is this even the real world any more?,@ShowtimewithAi,3,0,"[-0.032132015, 0.010051295]"
If Russia posted a video like this about the US Ukraine or Europe would we be laughing?,@krishniarumugam,4,0,"[-0.05818514, -0.03277996]"
"Krasnov doesn’t like it either.  He likes Gaza , we saw the video",@acidrefluxandgerd6891,0,0,"[-0.028394854, -0.035715144]"
What is life 😢,@wavhudimuthabine3448,0,0,"[-0.007329732, -0.011700523]"
I liked Trump and would've voted for him if I was american but bruh... what is this,@comradehoovy,2,1,"[-0.009085994, -0.027379226]"
Hahah. That is so trump,@prestonhanson501,1,0,"[-0.03189834, -0.032060716]"
Thank you Trump! You've made me lose enough brain cells to actually worry about anything anymore!,@Scugzerker,1,0,"[0.009287015, -0.0640276]"
This videos is satire by someone unrelated to trump,@tyscott2420,1,0,"[-0.03910793, -0.050782755]"
Nebuchadnezzar had a 90 foot statue built of himself. And we know the rest of the story...,@Elizabeth-rk3do,1,0,"[0.0018564321, -0.025179323]"
He may be the president but there is NOTHING presidential about him. He's an embarrassment.,@claudeanemarino8808,7,0,"[0.0005773231, -0.025624705]"
Just like Qatar,@Blackmassog,0,0,"[0.007947213, -0.0036538166]"
The United States is humiliating itself,@neilmars8337,6,0,"[-0.014454125, 0.00080681714]"
This is so insane that I forgot that it actually happened.,@sixonethreee,0,0,"[0.03171279, -0.029232392]"
😂😂😂😂,@phantom197,1,0,"[-0.010790561, 0.037765387]"
The arrival of the dajal,@Saphiaya,1,0,"[0.028475802, -0.0083989315]"
"I would just like to point out 0:14 and say that's a nice detail for the AI to have included. Bearded bikini dancers were not on my bingo card for this weeks' insanity, but I will take whatever shimmer of light(heartedness) I can get.",@niklaswassermann9971,1,0,"[-0.015026981, -0.03300728]"
We'll see,@aliyourbrother1,0,0,"[0.01908967, -0.017074883]"
0:21,@EgeusRenapoop,0,1,"[-0.043866333, -0.031614352]"
Love it!!!!,@alexab1109,1,0,"[-0.072777316, -0.033981245]"
G-d bless President Donald Trump. He wants to make Palestine great too.😍🤩🥰,@rommelmehari903,5,1,"[-0.016808216, -0.03125626]"
song low key catchy af,@starmanxvi,1,1,"[-0.054834362, -0.033981908]"
"All the world's psychologists and psychiatrists need to cut the b.s. and tell it like it is, to the planet.",@Zachorazor1,0,0,"[0.005354353, 0.046653297]"
"It was the best of times, it was the blurst of times.",@TadhgcDoran,2,0,"[-0.0015489864, -0.029952362]"
"It's just a dream and It will never fulfill, How cruel is trump you can understand now",@EntertainmentbyA.bhutto,2,0,"[-0.026377155, 0.0013644254]"
What tf  did I just see 💀,@Rose-l3w9b,0,0,"[-0.009272549, -0.04383114]"
It's the isrealis,@UkrainianRage,2,0,"[-0.056209628, -0.0019311816]"
Sick sick sick,@Tiger-Heart,0,0,"[-0.003372774, 0.00067344215]"
Hilarious 😂,@sgp9608,1,0,"[-0.020465322, -0.0201817]"
Gaza is not for sale!!!,@sumreentahir3447,2,2,"[0.034786835, -0.057146404]"
Trump Gaza #1,@JimmySpace69,2,0,"[0.011889274, -0.01977191]"
"If they didn't have Bibi there, it would be cool",@eesque41,0,1,"[-0.0062139654, -0.041004837]"
"Palestine and Gaza don’t need money, it needs justice. Trump doesn’t understand how much money Arab world can invest into this holy land but it was never about money. Free Palestine ❤",@mockingbird-sm5,0,0,"[0.033375166, -0.0516142]"
"Poor confused Trump, who started his real estate dream with: 'will be so ba (bad).', but quickly changed that in: 'will be so magnificent'. Well, the first is more according the truth.",@robsowka4985,1,0,"[0.009958357, -0.011387359]"
I will not support the idea..unless they add a golf terrain.,@xenomorphelv4265,1,0,"[-0.0044584763, -0.03673271]"
Discusting 🫏🫏🫏👎🏻,@ericvanlent6753,1,0,"[0.023447039, 0.015149915]"
"Yeah, he really posted this...women with beards. Uhuh, yeah that's totally something he would do.",@zomgwtfbekjam,3,0,"[-0.06864194, -0.07388687]"
It is possible. 😂,@a.v.5078,0,0,"[0.004439472, 0.0033673136]"
🤮,@SuzanaMantovaniCerqueira,1,0,"[-0.010790561, 0.037765387]"
Bearded belly dancers!,@Jay-n262,3,0,"[-0.04468659, -0.04213085]"
The Mad Man,@dhhallstrom7933,1,0,"[-0.0021483635, 0.0014692764]"
Seriously twisted,@mrgerrytube,0,0,"[-0.030866425, 0.012380464]"
"Men in long beards dancing in genie costumes, wait what 😮?",@MajesticElOTL,1,0,"[-0.032208607, -0.010412063]"
"This isn't a timeline, it's a timemaze",@DarkifyDarkify,1,0,"[-0.008544308, -0.02941088]"
😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲,@davidreid2301,0,0,"[-0.010790561, 0.037765387]"
What a narcissist.,@kanchangaurikulkarni8050,1,0,"[0.01204452, -0.044468597]"
Who made this video?,@nataliecase2718,0,2,"[-0.03552906, -0.043115113]"
He's got you guys buy the balls 😂😂😂,@ericsalinas98,0,0,"[-0.0343378, -0.05215548]"
Trump brings out the worst in everything,@KathleenLarsonStargazer,3,0,"[-0.0007573232, -0.009819674]"
"It is just SO telling that his image of a better Gaza is a resort for ultra-rich people full of beach attractions, balloons, expensive clubs and luxury cars (that seemingly stray into pedestrian spaces all the time). Where are the normal people? Where is transportation for everyone who is presumably running this stuff? Are there also normal places to go?Their idea of improvement is just a tourist trap for 1M+ net worths.",@Blaze6108,2,0,"[0.013356561, -0.06271365]"
Suddently cyberpunk doesn t feel like fiction anymore,@florin-alexandrustanciu5643,1,0,"[-0.013475416, 0.006914174]"
Elon musk is finally dressing up normally. If this was an alrernate reality😂,@j12torts,1,0,"[-0.014147429, -0.028588329]"
Alright Trump is still funny,@Jelawn,1,0,"[-0.010369577, -0.03738062]"
Such a visionary!,@brunoR0712,0,0,"[-0.0097152935, -0.057728555]"
"""that could be so bad.. that could be so magnificent"" even youtube's subtitles cought that 😂",@amtechprinters3339,1,0,"[-0.021981034, -0.02286932]"
New british eara has come and control the world again,@gulamnazam1499,1,0,"[-0.0387932, 0.023648972]"
TRUMP GAZA NUMBER ONE,@wassimhaifi5965,4,0,"[0.025021361, -0.017603673]"
Sick,@joeyknuckles2721,1,0,"[0.0083169285, 0.03352363]"
He's talking about Gaza like it belongs to he's mother,@wafic3563,1,0,"[0.0014700302, -0.056480598]"
"We are gunna see some crazy prophetic, and ancient things returning in our lifetimes.",@misfitkid1995,0,0,"[-0.045011356, 0.024615541]"
❌️ Trump✅️ Hamas,@ssseoks,2,1,"[-0.04067009, -0.021006223]"
Quel honte !!!!,@DarkDark-id9rb,1,0,"[-0.06109191, -0.05482223]"
"Trump himself has posted this !!!!Does he not realise that this video is satire that portrays him as a authoritarian dictator like Saddam, Gaddafi, Stalin etc that have portraits of themselves everywhere to oppress their power, and Elon Musk as some Oligarch henchman that relish showering themselves in the money they can make out of turning Gaza into a millionaires playground.Guess the ego aspect of his personality took over his thinking that this was a praising of him, and blinded him that this is in fact a protest.",@dominionscave4752,2,0,"[-0.06628069, -0.07321374]"
Is this video intended for The People of Gaza to watch?,@MrGlenRock,1,2,"[-0.029605638, -0.048116747]"
"""So we were going to do Gaza...and Panama...and Greenland...but I've talked to Elon and we've decided that what the world needs most is CONTINUITY.  More TRUMP.  That's what the world really needs for stability. So I've decided that in 4 years' time I will do you the honor of continuing to be your most-loved president - to keep protecting and saving you for many more years.  You'll thank me - you'll be SO GRATEFUL, and you know how I like gratitude. No need for expensive elections that the slimy democrats JUST WANT TO STEAL!  I will be your fabulous, brilliant president until I die. I'm doing it for you!""Fully expecting this.",@ateleskier7066,0,0,"[0.013691113, -0.022704117]"
He is totally insane !!,@averilmccaffery3356,1,0,"[0.000528654, -0.064830266]"
"Being a realist, Trump Gaza, if ain't happening in the next 4 years, it should not even start.",@ytmusic4342,2,0,"[-0.0060012583, -0.04300837]"
I thought you wanted the Trans community and children to be closer...,@jloren4647,1,0,"[-0.0019689715, -0.008528121]"
it was a satirical video unfortunately picked up by Trump as beautiful. Horrific for the creator.,@gordonthomson7533,2,0,"[-0.037789516, -0.024875522]"
These two are off their nuts 😂,@randulatelge6777,1,0,"[0.010668529, 0.0027614487]"
😂😂😂,@life4trinity,0,0,"[-0.010790561, 0.037765387]"
"I believe President Trump’s idea is the best! This man is incredible! I love you, Trump; you are a wise man!",@MoHakakian,1,0,"[0.010688026, -0.053821295]"
"Trump's London, Berlin, Paris and so on will follow",@erdemkaya2735,1,0,"[-0.03413794, -0.0070054797]"
This is like how cartoons portray politicians,@WeatherCat_TheCat,6,0,"[-0.045544468, -0.043435905]"
It's gonna happen been Prophecised Zephania Chapter 2.4,@childrenoflight3010,0,0,"[-0.009770246, 0.051367722]"
"ترامپ که عددی نیست تمام‌ قدرت  های کره خاکی هم دور هم اجماع کنن برای غصب غزه  قطعا شکست خواهند خورد غزه با پشتیبانی خالق آسمان ها حمایت میشع قدرتی که همه قدرت ها در برابرش قطره هم نمیشن (Trump is not a number If all the powers on earth came together to seize Gaza, they would definitely fail Gaza is supported by the Creator of the heavens A power that all powers would not yield a drop in front of",@Mohsen_islami,0,0,"[0.018122753, -0.013856505]"
He's gone insane,@yassinecore,2,0,"[0.026673129, -0.023385152]"
Fault the great!,@muhammadalitalukdar5839,1,0,"[-0.013357677, 0.024652349]"
Absolutely no care for human decency.,@usibistro,2,0,"[-0.0069458727, 0.032361135]"
"“ No more tunnels, no more fear….Trump Gaza is finally here!!” I laughed so hard.",@bianconerointheus6692,5,0,"[0.005965929, -0.070615076]"
world war 3 is near,@STRTYPS,1,0,"[-0.02260303, 0.012509525]"
A giant golden statue of Trumpf 🍊would not 🙅‍♂️ last 12 hours in Gaza….,@MidwesternIndependent,2,0,"[0.014819791, -0.011820113]"
Insane,@hunterkea203,1,0,"[0.013727707, -0.02008588]"
Bruh,@Ibra141,2,0,"[-0.036688853, -0.06103971]"
"Great idea! 😂 And he will take 2 MILION people from Gaza to the US, right?😂😂😂",@ozoracka,1,0,"[0.03318047, -0.05913539]"
What a disgusting 🤢 president!,@SadihaakterSadiha,5,0,"[-0.049654886, -0.029128673]"
😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,@Toxic_Lanur64,4,0,"[-0.010790561, 0.037765387]"
"Fascinating how Trump`s instinct in the speech is to say ""this could be so *bad*"" Tells you everything you need to know how he usually likes to talk",@m_hut,3,0,"[0.04111461, -0.022677667]"
Great vision! Let's the dream come true!,@eugeneeugene3313,5,0,"[-0.039709378, 0.0026847927]"
"Trump’s statement reflects his typical approach of attaching his name to things for attention, but in this case, it’s especially tone-deaf. The people of Gaza don’t need branding—they need humanitarian relief, reconstruction, and an end to the suffering they’ve endured for decades.",@Freepalestine__346,1,0,"[0.019088382, -0.031870034]"
All amaricans should be adhamed of this vedio,@fathima8242,2,0,"[-0.011768943, -0.032233547]"
You will save no one☠️💀,@ANobody-k4t,1,0,"[0.0038392022, 0.015984388]"
Anyone see the trans woman belly-dancers?,@StephenBogan-r4s,3,0,"[0.011882748, -0.021806836]"
"Sometimes in life you have to decide, especially in matters of life and death. So I´d like Trump Gaza.",@adgdjd3,1,0,"[0.01592281, -0.057780042]"
This is actually the worst thing I have ever seen,@byrontheusurper6505,7,0,"[0.03434114, -0.047313005]"
Is anybody seeing the bearded ladies 😂😂😂😂😂😂😂😂😂😂😂😂,@Itbebobby,1,0,"[-0.03613233, -0.036845338]"
I need this song :D,@user-tl9ng6nv5i,1,0,"[-0.037005804, -0.02280151]"
Solo de escucharlo se me revuelve el estomago,@alejandroaca931,1,0,"[-0.031228103, 0.023314636]"
We are living in the craziest timeline rn,@thespeedingmushroom7892,0,0,"[0.0027624716, -0.013632469]"
No Gaza is sufring😢,@Humzah356,2,0,"[-0.007581673, -0.017333105]"
Dis his Dad leave Gagza in inheritence to him?That's theiving private property and that also hunderds of miles away!,@drteaches,2,0,"[-0.0061851605, 0.01627917]"
GAZA LAGO LETS GOOO,@Rexident97,2,0,"[-0.013732578, -0.042099584]"
You all are cooked. Sincerely,@urbaebea,1,0,"[0.034074496, 0.023118537]"
"This man was voted by the majotity of people ib the US, right? Okeee..... lets talk about alternatives to demoraty.",@christianburrig9485,1,0,"[0.039652187, -0.042560782]"
American citizens voted for him 😂😂 Unbelieveable,@sasasasa9568,6,0,"[-0.017483536, 0.013957892]"
Idolatry at it's most disgusting...,@kingscroach,2,0,"[0.02285298, 0.004784642]"
😂😂😂😂😂w trumpgaza,@nicobrucoromanazi4394,2,0,"[-0.019939035, -0.007305184]"
The peak of american politics indeed ☕,@10-K09,1,0,"[0.042313956, 0.02366838]"
"""the boys"" 😭🙏",@n1nja_money,2,0,"[-0.032559667, 0.04542681]"
"Will he likewise build a ""Riviera"" in Greenland?",@doug5280,2,0,"[-0.044227745, -0.043374922]"
"Imagine the federal government knocks on your door some say and says you and your family are being relocated to South America because your home will be converted into a tourist hub? How would you feel? Think about that for a minute… If it can happen overseas it can happen in USA, which is Trump’s operating center and where he has the most supporters.",@Zorah-jk2gs,0,0,"[0.02334083, 0.0012231187]"
It's in your dream both goat😂😂😂,@meherullarahman5087,1,0,"[-0.009612494, 0.007778956]"
⛸️⛸️⛸️,@meherullarahman5087,1,0,"[-0.010790561, 0.037765387]"
Happy now with your fires!? I hope so.,@Aser7_1,3,0,"[-0.019642448, -0.020806503]"
Trump will make Netanyahu and Musk be his downfall,@Lykan443,2,0,"[-0.0041332967, -0.049162008]"
Wow really catchy,@ajaxwolcav8331,1,0,"[-0.088836096, 0.03569063]"
Funny how in the video there are bearded women dancing. Ironic that trump didn’t see it,@aidankreltszheim3599,2,2,"[-0.054922376, -0.065844044]"
How often did I have to idiotically day to end in the plane of existence where this is reality?,@fragdoch-nicht1290,3,1,"[-0.007414983, 0.00969814]"
awesome,@gurufabbes1,1,0,"[-0.055494577, 0.0044937422]"
"In my newsreel, from the BBC website 4th March 2025""A $53bn (£41.4 billion) reconstruction plan to rival President Donald Trump's idea for the US to ""take over Gaza"" and move out more than two million Palestinians has been approved by Arab leaders at an emergency summit in the Egyptian capital Cairo.""Egypt had produced a detailed blueprint, with a 91-page glossy document including images of leafy neighbourhoods and grand public buildings, to counter a US scheme labelled as a ""Middle East Riviera"" which shocked the Arab world and beyond.That's the art of the deal haha! A beautiful deal, an incredible deal.",@SHIREDRIFT,1,0,"[0.043116797, -0.044116694]"
This is the best joke that even he fell for! 😂😂😂😂😂,@Oomzilla,1,0,"[0.020255692, -0.019817261]"
He just stopped himself from saying valuable and changed it to magnificent 😂,@johnwhite3269,2,0,"[0.028045593, -0.041574202]"
I love my president!!😂,@huckstir,0,0,"[-0.04873277, -0.06019705]"
Der alte Tattergreis ist gefährlich,@joergschaut,2,0,"[0.032530945, 0.036840335]"
sick,@Kirk2Data,4,0,"[0.012635017, 0.023282453]"
talking about braindead politics,@TheNcbm,2,0,"[-0.004437623, -0.008147523]"
What a great video.,@carlosmagno111111111,0,0,"[-0.03619789, -0.033284746]"
Here for the song,@Poliswagins,0,0,"[0.008793883, 0.018292148]"
This seems pretty soulless,@Danny_Delano,4,1,"[-0.043562613, -0.0036703942]"
"😰""Peter, don't! They say if you watch that video, you'll DIE!""Peter Griffin: ""Ahh that's a lot of baloni!""The video:🎶""Donald Trump is to set you free! Donald Trump number #1!""🎶Also Peter:☠️☠️",@davidebachi4275,0,0,"[-0.013127836, -0.036165487]"
A spectacle of disgrace at its finest,@JM-sv5wg,8,0,"[-0.008310638, 0.0051124645]"
Why is everyone complaining? It looks really great if you ask me. Compared to what it is now...,@igorknapp2460,2,0,"[-0.049073603, -0.016182119]"
Where's the respect for all the people who were murdered in Gaza without mercy? That guy will definitely be the down fall of everything.,@razantarek9974,5,0,"[0.0086841155, -0.022504903]"
Souper vidéo 💯⭐⭐⭐⭐,@zahrazaho694,2,0,"[-0.04816945, -0.017930945]"
Disgusting. Beyond all limits. No words.,@naialarranaga2694,5,0,"[-0.010040173, -0.0046031093]"
Back to future 2: when Biff Tannen found the Almanach and George McFly is dead.,@villapierre,0,0,"[-0.04802365, 0.040353682]"
This is a direct response to palestinian children celebrating the coffins of Bibas family,@mrpacman1185,0,0,"[-0.015387775, -0.002038644]"
WTH..........,@onemartinway,2,0,"[0.013100908, -0.07364844]"
"0:24 above the Trump Gaza sign, you see what's obviously a baphommet or goat head. On the side of each pillar you see what looks like an owl, a common symbol that means wisdom; the baphommet is in a dome that's an eye like the all-seeing eye and on the right pillar you see the number ""9"" a common symbol in the occult.",@JH-6g5,3,1,"[-0.041143678, -0.015685631]"
Arabs for Trump voted for this.,@autumnjade815,6,2,"[-0.019263294, -0.014645842]"
"Insane and evil.  I don't even know what to say anymore...This seems like it would be an Onion parody, but it's real.  I've been saying that a lot recently...",@LPW638,11,2,"[0.012801367, -0.03868001]"
He lost it,@kellybemis7268,3,0,"[0.02181613, -0.0025566316]"
Will the lions of Gaza allow you to do that?,@Fdycg-q2o,0,0,"[-0.041113332, -0.027080808]"
"What the F is these people smoking? Reminds me of those old DirecTV ads. “Opulence, I has it.” lol 😂",@Nillbor9641,0,0,"[0.0022897257, -0.02490936]"
It was posted on truth social by his account,@goreegirl,0,0,"[-0.015200337, 0.005037363]"
People are defending this? Please tell me its Ragebait comments and you people aren’t serious,@Alienhomid200,5,6,"[-0.039154854, -0.03587083]"
Daniel 11:38,@PrezC,2,1,"[0.040204618, 0.020302081]"
Trampy started war in the beginning so he could build condos there,@22jayla,2,0,"[-0.0082687, -0.01791951]"
Sick bass,@22jayla,0,0,"[-0.042675998, 0.03451286]"
After disrespecting Zelensky he is diverting attention of the people by disrespecting the middle east like someone who doesn't care anyone. 😅,@Buna5689,3,1,"[0.0272916, 0.018242862]"
{لَا يَغُرَّنَّكَ تَقَلُّبُ الَّذِينَ كَفَرُوا فِي الْبِلَادِ} صدق اللّه العلي العظيم.,@highgain6770,3,0,"[-0.014369992, 0.04298698]"
"This could be something that could be so bad, this could be so magnificent... "" What?",@missymichilli8860,2,0,"[0.019571558, -0.02460464]"
I Thought our President in Kenya was nuts... THIS one of the USA is utterly BONKERS .,@rosesimani,8,0,"[0.034711134, -0.040655565]"
🇵🇸🦶🦶🇺🇲🇮🇱,@madaraff5713,1,0,"[-0.010790561, 0.037765387]"
The dancing girls have beards. Thrown under the bus by AI.,@TropicalLatitude,3,0,"[-0.021341387, -0.036340673]"
So Palestine just loses their territory? It's as simple as that?,@goncalosilva1260,0,0,"[0.03144547, -0.055519387]"
What the heck with the bearded trans girl dancing hahaha,@ulisesramirezsalinas,0,0,"[-0.0201087, -0.047960408]"
"DON'T BE CUTE, DON'T BE WISE, JUST BE HUMAN PLEASE!!!!!",@tyramir3480,0,0,"[0.010639536, -0.024595937]"
A cruel art & plan of illuminati,@AllEyes-OnMe.,3,0,"[-0.028980065, 0.026035033]"
It has the same chord progression as the agustus gloop song,@lib5864,1,0,"[-0.065677755, -0.0035453264]"
😂😂😂😂😂😂😂,@PerezRivera65,1,0,"[-0.010790561, 0.037765387]"
This is great 👍  Trump Gaza we want to see. 😅,@floatinsun,4,5,"[-0.022730183, -0.034369692]"
"Funny how everyone in the comments judge this project as ""pure evil"" while what they probably consider a reasonable policy has led us to Hamas.",@jvs6338,2,2,"[-0.058265675, -0.02509992]"
"The problem of these people, and I mean those making videos like this, is that they have no soul. They are talking machines with numbers in their minds",@carolco,1,0,"[-0.028406817, -0.013689791]"
This guy is crazy 😮,@Guanasse,0,0,"[0.006262719, -0.025138494]"
He cannot just take their home.......he is so self concerned.,@maedenton5436,1,0,"[0.0109446, -0.016028333]"
trump have a sence of humor,@АртемийКалинин-ж2ф,0,0,"[-0.022398274, -0.022226246]"
This is a terroist ideas from trumb,@TaiebTraina,2,0,"[-0.006617686, -0.026384704]"
"How strange hilter also had artitecture plans too that nobody asked for to boost his speed induced ego.  🙄 but you know must just be him ""throwing his heart out"" right.",@sorinhocking876,0,0,"[-0.0013320007, -0.06604379]"
Shame on USA,@AffordableBuildersinTorbay,0,0,"[-0.0009897836, -0.0482242]"
"This video was a parody mocking Trump, his big ego and his bigly a'brain which Trump reposted as soon as he saw his bigly golden statue 😂",@zigs666,3,0,"[-0.026299527, -0.03189441]"
"We can all of course have different opinions about the Middle East conflict, especially about the Hamas attack or the Israeli attack, but this exceeds all moral boundaries of any humane person. It is disgusting, tasteless, degrading, wrong and repulsive! You just don't do that!",@Schmusbek21898,0,0,"[0.004218965, -0.010411815]"
"Omg no doubt about it, he’s insane!!",@cwall3308,0,0,"[0.0018582867, -0.0714294]"
Elon can eat a lot.,@EverPaintP,0,0,"[0.05483666, -0.05795372]"
AI-aided genocide,@MagiczzLilGoose,4,0,"[0.01812227, -0.0071539674]"
Don't let trump into the gaza,@nsr585,0,0,"[0.045685083, -0.043535654]"
"Все мусульмани мира обьединяться и будет война, если вы захотите забрать Газу и Палестину себе",@Muslim_05_rab,0,0,"[-0.04127358, 0.04992829]"
Газзу и Палестину мы вам никогда не отдадим,@Muslim_05_rab,0,0,"[-0.031103311, -0.034333408]"
