text,author,likes,replyCount,encoded
Girish Ad fav movie,@bijuabraham3481,1,0,"[0.004756112, -0.015555586]"
This movie still ranks up there with the all time funniest of all time hit the like button if you agree,@Jung1981giggles,0,0,"[-0.018041726, 0.019829942]"
Like here who comes from Instragram ❤,@DEVAR270,0,0,"[-0.07796162, -0.041032072]"
Our generation's Animal House,@bionicload7704,0,0,"[-0.056995705, 0.022730973]"
We need a superbad 2,@RapRmxKing,0,0,"[-0.058540236, -0.016861394]"
0:50 no way!! Is that Scott pilgrim!?🤯,@hyperpower6225,4,0,"[0.017979275, -0.049873807]"
gar nicht mal so lustig,@93Beefcake,0,0,"[-0.027286958, -0.0031087853]"
😂😂😂😂😂😂😂😂😂😂watched this movie for first time in 2024 is so good ❤,@silverjay4455,0,0,"[0.05142825, -0.0021078738]"
Thank you to everyone that worked on superbad I watched it so much,@yorucyber2630,0,0,"[-0.009199895, -0.0072547304]"
Came here after watching the legendary movie Project X,@Last_Avenger96,0,0,"[-0.057585914, -0.023408875]"
9585 young justice minister,@OKAY0991,0,0,"[0.006573068, 0.0012238543]"
Oh awkward high school days ❤️,@realfakehollywood,0,0,"[-0.0137538565, -0.058950216]"
Hacía tiempo que no me reía tanto por una película buenísima,@Arnauero3.0,0,0,"[-0.02019996, -0.014489095]"
Jonah Hill is in every single comedy film I've watched. That Jewish guy who's had a lot to drink and often walks in drunk—that's Jonah for y'all.,@thisissophiaisabelle,0,0,"[0.022788242, -0.045406803]"
Anyone who went thou public highschool in the mid 2000s gets this movie.,@Luke-ye3tn,0,0,"[-0.04467811, 0.0092555955]"
by far my favorite comedy movie ever 😂😂,@MYTHkaz876,4,0,"[0.0048530335, -0.018323177]"
1:30 song?,@riexxxriexxx8690,0,0,"[-0.05286497, -0.046301626]"
Hahahaha this is a movie i keep going back to every year it's gold,@PureVikingPowers,0,0,"[0.0042300615, 8.879072e-05]"
A masterpiece,@entreprenoren123,0,0,"[-0.03947996, 0.0018142326]"
"Loved this movie, watched it even in my childhood when my older cousin showed me it, fell in love with this movie ever since 😂😂🇬🇧🇬🇧",@perkiewitthelean751,0,0,"[-0.014655165, -0.014222686]"
I loved mushrooms,@chadh2241,0,0,"[-0.012239026, -0.038214035]"
In the 1980’s ( I shouldn’t have slept with that guy) Never even Crossed Our Mind nor Was it even an After thought!!!!!!,@Goodboy0953,0,0,"[-0.006391515, -0.033470567]"
Eminems favourite movie,@milosmiljkovic6312,0,0,"[-0.022307497, -0.07169425]"
"Holy nuts this move was released on my birthday, Aug 17",@carmelomillan-carpo8591,0,0,"[0.0063128415, -0.02041103]"
"there is 1 movie where there are trio. One by one of them entered the room at a party with their crush. I don't clearly remember, but one of them had sushi rubbed on his crush's armpits, and the guy ate it",@sideophone,1,2,"[0.035210013, 0.030556701]"
Te amo mi yessita ♡,@maisoumenos7925,1,0,"[-0.043825947, -0.0072856033]"
Is this THE funniest movie ever?,@supratikpaul9772,0,0,"[0.00917676, 0.012385852]"
Bad teenage boy,@Ernawati-od3tr,0,0,"[-0.079530254, -0.0063640913]"
"THIS IS MY BEST MOVIE TO CHILL OUT, THANK YOU TO ALL THE GREAT PEOPLE WHO MADE IT POSSIBLE, please receive a hug to that funky soul dear ones",@theros_oncore,1,0,"[-0.035926715, -0.028799832]"
Omg. In 4 short years this movie will be 20 years old!! 😬The 2000s are becoming the new 80s,@jamieposeidonmccarthy,5,0,"[-0.030950068, -0.028198965]"
Mclovin'? More like Mcstinkin'.,@saffronman100,0,0,"[-0.017914658, 0.01524808]"
Very funny movie 😂😂😂,@WWEtheHunter,0,0,"[-0.024203237, 0.009166546]"
This movie defined my high school experience,@JohnSmith-nm4zd,2,0,"[0.008131733, -0.01266222]"
gaiso basa jawa,@HAIKALEMYR,0,0,"[-0.043903895, 0.010910169]"
❤,@dijahtrump694,1,0,"[-0.010790561, 0.037765387]"
my fav movie ever!!!,@cityofvicee,0,0,"[-0.0028616483, -0.042846806]"
Good movie,@Ohiopoop139,0,0,"[0.008133563, -0.010019424]"
Time flies 😢,@eddiefernando3057,0,0,"[-0.00954088, -0.020387387]"
One of the last good comedies,@lakelanierbound,0,0,"[0.02347486, 0.02923432]"
This came out the year after I graduated HS. Brings so many memories ❤😂 I might need to watch it tonight,@gbecks3672,2,0,"[-0.00973386, 0.009346527]"
I doesn't even been to America or any western countries and my culture is totally different but while watching this movie somehow it feels so nostalgic and I feel so connected to this film!,@premrahulvlogs4832,12,3,"[-0.004544056, -0.00672324]"
Nothing will ever beat this,@deependrashukla7449,0,0,"[0.0040008263, -0.025720088]"
8 packs every time I watch this,@Bennythejet93,0,0,"[0.009291929, -0.029797362]"
Is it normal taking like that to your friend's mom? it's really horrifying to me,@thelogicless9040,0,0,"[0.0081563145, -0.029820474]"
Looks like a good movie with young 21 jump street guy,@Tidepool,0,0,"[-0.045674756, -0.012760007]"
"When this movie came out i was like 5 months old, now I'm 15, time flies...",@lil_mtm0715,2,2,"[-0.01503418, -0.031033065]"
especailly with my aircraft carrier,@jamesrobertson1066,0,0,"[0.027530616, -0.015071924]"
come at me bro,@jamesrobertson1066,0,0,"[-0.053121638, -0.0016554047]"
lets go bro,@jamesrobertson1066,0,0,"[-0.024562161, -0.04960193]"
"""It's YOUUUUUUUUUUU, McMUFFIN!""",@TheGhostofMrArthurs,0,0,"[-0.026129792, 0.0064128214]"
Have fun. Will find u later-- gary greenbaum is mclovin fyi...,@zekegreenbaum2077,0,0,"[-0.032073837, -0.007362316]"
“I am mclovin” 👌😂,@izaahtamayo6863,0,0,"[-0.032619856, -0.0028533377]"
LMAO ZACK GONNA LOVE,@ee208studios,1,0,"[-0.028967839, -0.0118551785]"
1 NAME?! WHO ARE YOU SEAL? lmfao,@erickluviano981,0,0,"[0.04362773, -0.06518705]"
Best Film ever😍,@lloyd2010,0,0,"[0.022427844, -0.029196704]"
I saw this in theaters a year before I started high school. What I would give to go back to those days,@XdonteatmypizzaX,12,3,"[0.0070381197, -0.0069916863]"
"this trailer shows all the movie, WTF 😂",@panchow4582,1,0,"[0.00017481748, -0.01427651]"
McLovin is a good name,@LJcanal21,0,0,"[-0.062205207, 0.0021702629]"
"Red mist, Tighten and Scott Pilgrim",@maadtee6281,0,0,"[-0.02004141, 0.0019860242]"
I currently study in university and its my first year that all my friends separate with me due to different courses😭,@alexwalker2263,0,0,"[0.021295954, 0.013839329]"
Coronakumar,@SkSurya-it7ns,0,0,"[-0.053621344, 0.010635352]"
Best movie ever and Jonah hill's awesome 👍 love from india,@aadityaupadhyay4441,0,0,"[-0.0034930473, -0.04603796]"
"02:00 Emma Stone looked completely different here, she was so plain, no wonder she failed in all of her auditions, she seems here as if she was trying to copy Mila Kunis",@haneen7aneen2,0,0,"[0.0065832795, -0.036430202]"
a must watch for every teenager,@matheusmariani3108,0,0,"[-0.012953077, -0.0085641565]"
I'm just just her because I LOVE superbad it's Awesome I miss comedies like these that just didn't give  F**K 😂😂,@marquesjohnson6359,0,0,"[-0.018081712, -0.040907606]"
Youtube : 01:35 Most replayed,@HighnessFilms,1,0,"[-0.06279319, -0.023424601]"
"Instant classic!  One of the best films of it's era.  Stands the test of time from beginning to end.  In my opinion it will be up there in my memory with films such as fear and loathing, dazed and confused, and fast times.  A movie for a generation.",@dantheman8642,148,0,"[-0.02805454, -0.020231051]"
Life will never be this good again it sucks,@anonymouswomen469,2,0,"[-0.0057125725, -0.003880052]"
In a few short years Jonah Hill went from trying to get booze to scoring ludes,@paulorocky,0,0,"[-0.005317912, -0.08773762]"
I LOVED this movie so much 😂🙌🏾,@AlanaGurl,18,0,"[-0.012384743, -0.020684943]"
I miss these kind of teenagers movie they were so good back then what happened now!,@maily241,0,0,"[-0.032196313, -0.022335187]"
Scott Pilgrim Hal Stewart/Titan Gwen Stacy Mantis from Kung Fu Panda as a Police officer Flint Lockwood as a Police Officer,@jacobgarrity9055,0,0,"[-0.030057063, 0.03506444]"
Wasn't that funny,@stefbracey1053,0,0,"[-0.017327331, 0.00061704667]"
"He was like youSo, he was jewish.Rofl",@akeaek21,0,0,"[-0.02906828, -0.040035814]"
What's the song at 1:30?,@dantownsend7743,2,1,"[-0.023394817, -0.022341162]"
That's kRazY,@mikaellamariebriones6963,0,0,"[-0.018539215, 0.016687369]"
God Bless you all!,@jamespatrickearlcheney4792,0,0,"[-0.043138724, -0.029768307]"
"Ohw,McLovinnn,McLovin....",@jeroengoubet,0,0,"[-0.029382879, -0.036198817]"
If you like this movie you are probably in your 30’s and you wouldn’t believe that it has been 15 years since you watch this movie.,@Hmoo424,0,0,"[-0.01250452, -0.013719081]"
It's a funny movie and I enjoyed but when I was their age I just went to the pub. No need for fake ID it wasn't a big deal.These type of movies aren't as relatable over here in UK,@MrKeefy,0,0,"[-0.06449047, 0.010779228]"
Back when this first came out on dvd i tried watching it around my parents because it was rated R and called “Superbad”. I can’t remember what scene was on when they realized I was watching this but whatever it was made them sit down and laugh hysterically through the rest of the movie. This became one of my personal all time favorites,@gupworld7395,53,0,"[-0.02591057, 0.011304625]"
0:01 1:35,@marcuswalker1528,0,0,"[-0.034280308, -0.029843133]"
So this was Hal/Titan/Snotty boy when he was in high school,@danielk5489,0,0,"[-0.016414205, 0.004724614]"
This movie makes me really sad i didn't go to highschool in America and at the same time it makes me really happy I didn't go to highschool in America 😅🤣,@fairytalesforall7643,9,0,"[-0.009060168, -0.016080564]"
Name a funnier movie! I'll wait...,@DreamsMom,7,1,"[-0.013028751, -0.0123432595]"
mcloving cute,@mickeymlou3491,0,0,"[-0.07413317, 0.04128444]"
Zaddyy,@mickeymlou3491,0,0,"[-0.033701386, -0.010722153]"
mommy milky!,@mickeymlou3491,0,0,"[0.00366702, -0.021030713]"
I haven't even gone to high school and this gave me nostalgia,@majormajor7925,0,0,"[-0.017775863, -0.01639129]"
"One of the best to watch with your buddys, while high.",@anthead7405,0,0,"[0.015520521, -0.029886272]"
😂💯,@JaspreetSingh-oq7ob,0,0,"[-0.010790561, 0.037765387]"
The best movie that Columbia has ever made,@suitableggjs4876,0,0,"[0.019900542, 0.016479561]"
When is Superbad 2 : College Days announced?,@johnphilliptecson3793,2,0,"[-0.052560728, 0.0032667345]"
I think this would be a treat right now to cheer up my Monday! 🌚,@AsifAAli,0,0,"[-0.03927928, 0.0030431037]"
This is easily easy better than project x and more iconic,@jokybones,1,1,"[-0.051916305, -0.036776643]"
I have to watch this movie 🍿😁,@Blue_Music99,0,0,"[0.01584391, 0.0012168611]"
This movie had no boring scenes. Love this movie,@gotmefkedup1181,8,0,"[-0.014303493, -0.0155210225]"
Legit my favorite comedy .,@TBGmario,4,0,"[0.0034712132, -0.013860295]"
e,@mrgibbs1616,0,0,"[0.021483202, -0.045274187]"
Kiss is outstanding 😁😁😁,@NavinKumar-ie5ye,1,0,"[-0.04136279, -0.018965393]"
Wabelldas,@cesarnunezmoises7347,0,0,"[-0.041974198, -0.004274101]"
Panananananma,@evanvinci5255,0,0,"[-0.014200219, 0.009375563]"
eeeeeeeeeeeeeeeeeeee,@ellisaustin3896,0,0,"[0.026630364, -0.023531832]"
Somehow I was able to see this in theaters when I was 11 😂,@BateMasterJeff9887,3,0,"[-0.0020073287, -0.036583386]"
not even a single comedy can top this,@rickduggal192,1,0,"[0.018622002, 0.026756117]"
!,@tekksavvy2242,0,0,"[0.023223855, 0.012996908]"
"Make this movie in 2021. Good luck.One of the BEST comedy films of all time.""Well, the funny thing about about my back Jules..."" 😜",@jamesshields3452,1,0,"[-0.044222638, 0.037499912]"
"Damn, when i watched this movie I felt like it should have been a new movie but it wasn't.",@luisfcayo,1,0,"[0.004181059, -0.019156538]"
Ehehehe,@kapilbaruah3121,0,0,"[-0.03069558, -0.07763617]"
Watch project x,@markornjak3169,0,0,"[-0.012783191, -0.017649086]"
I miss my good old days - particularly miss them in covid lockdowns,@tzywg3399,3,0,"[0.018019317, 0.0021731616]"
2020 highschool sucks,@satprep9915,0,0,"[-0.036125705, 0.0072122905]"
I consider this movie a classic,@danny91pr,6,0,"[-0.0058186394, -0.011053296]"
"the ""McLovin"" name never gets old",@KDRpanda,3,0,"[-0.06496673, -0.00063246046]"
Detroit Lions = Superbad = 💊 s Eternal G Holmes BRADdoCK Detroit Lions 313 Eternal,@giancarlogonzalesdelvalle5150,1,0,"[-0.022315051, -0.005670153]"
Did Anybody came here Immediately after watching the recent joe rogan with russel peter episode when he Mentioned bout this movie cuz i did.,@meghalayacarsmodz7625,1,0,"[-0.0026467268, -0.0062265215]"
Favorite movie of all time,@MrAlcoholicKoala,0,0,"[0.013262631, -0.01705453]"
Superbad Main Lesson No 2 Racism 45 Season Numerology = HulkNYK 80% Blue=Chocolate = Detroit Pistons Green=Vanilla=Orlando BlaCK Magic Red=Strawberry=NYKnicks,@giancarlogonzalesdelvalle5150,1,0,"[-0.008213939, 0.0074543143]"
Our generations Dazed and Confused,@hoc1992,0,0,"[0.010397879, 0.023435138]"
The teenage version off good boys,@juliangarcia8386,0,0,"[-0.06553427, 0.0069224997]"
I rememeber Superbad being all the rage when it came out. Though nowadays people don't talk about it very much. I recently watched a clip of the movie and it looks stupid. This is one of those movies that people look back at now and think of how dumb it is. I'm sure I'm not the only one who thinks that but I'm entitled to my opinion.,@eltonyescas5425,2,1,"[-0.021038357, 0.04086871]"
Need sequel to this! It should be badass,@ManojKumar-wc9hv,0,0,"[-0.076955095, -0.023931585]"
Came here after finn wolfhard said its one of his fave movies lol,@sarahx204,0,0,"[-0.03684175, -0.017095195]"
2021 anyone??,@arun7sid,0,0,"[-0.038847666, -0.028082566]"
what is the name of the song that plays at the end of this trailer,@joshdear1898,0,2,"[-0.0070841713, 0.041549407]"
Funniest and most awkward movie ive ever seen,@nagygreta5295,2,0,"[0.036032997, -0.026685573]"
Loji 8 7 9 maximum immunity safety security,@aurala4498,0,0,"[0.008068402, 0.039387826]"
Brief 6 7 loji 9 7 8 a l stat 7 8 brief hlkjlkhjlk a maximum immunity safety security,@aurala4498,0,0,"[0.0013331437, 0.037529543]"
Old but gold,@putin8208,0,0,"[-0.008184749, 0.015937505]"
The Legend fckinn McLovin🙌🏼,@DonWawa,2,0,"[-0.10984149, -0.03590068]"
Ladys and gentlemen two time oscar nominee mr jonah hill.,@Zecamilleo,0,0,"[0.038922332, -0.05400225]"
Bill Hader and Seth Rogen as cops need their own cop movie dude. They were hilarious in this movie.,@adithyamenon5207,4,0,"[-0.018308697, -0.009253891]"
💊,@giancarlogonzalesdelvalle5150,1,0,"[-0.010790561, 0.037765387]"
I watched this film for the first time 6 months ago and it made me feel nostalgic even though it was my first time watching it,@alexhamer8787,176,1,"[-0.001075765, -0.018443294]"
"Hey! If you are seeing this, I just wanted to let you know that Jesus loves you! He loves you so much that He died on the cross for your sins and rose from the dead so that you could be saved from sin and the wrath of God! This is the Gospel; you can be saved from God’s wrath and hell if you believe and trust in Jesus! God Bless you all!!",@shanescuderi,0,0,"[0.0012532023, 0.0014582309]"
I 'm Mclovin,@rakshitrao7873,0,0,"[-0.06336244, -0.010626512]"
1:13 im dead 💀,@Zregat_Gaming,4,0,"[-0.0072233323, -0.043324027]"
I love Michael Cera so much,@sophiaatn5339,1,0,"[-0.028150586, 0.0043350332]"
"Some generations have Animal House, some have Dazed and Confused, some have American Pie. I got Supa baaaaad.",@wallywest2038,0,0,"[-0.05257538, 0.04091676]"
This screams the Mid 2000s-Early 2010s high school experience,@histomuzik,318,3,"[-0.053419154, -0.020503407]"
This is the end movie 2013 the same actors Jonah hill and Michael cera,@abdoualazizlouz7033,1,0,"[-0.025117958, 0.016737126]"
"Can't believe it will be 14 years since this movie came out, time flies!",@PositiveCitizen,60,0,"[-0.012029833, -0.03297846]"
Those 2 cops stole the show for me,@jackrodakthemovieguy1726,0,0,"[0.02029268, 0.005402186]"
Don’t do it kid,@securityguard1004,1,0,"[-0.012384116, -0.03134002]"
"Comprehend this: Seth Rogen and Evan Goldberg wrote the movie when they were freaking 13 years old. Sure, it took a while to be the  movie it was, but if this doesn't inspire you to follow  year dreams, I do no know what will. Boom!",@nw3685,126,7,"[-0.05653466, -0.031671934]"
"McLovin 2024!  ""He's badass...he's gangsta!!""",@NevadaBoss,1,0,"[-0.02957898, -0.010588665]"
Yes he blew it😂😂😂,@CluelessIndianGamer,1,0,"[0.012538929, -0.03368003]"
I've never seen this before even though I was 15 when it was released.,@Mark-0O,4,0,"[-0.02350081, -0.010496018]"
"You are the prettiest girl...of this side of the misisipie 😅😂🤣👌 his actual words and he even pauses after he said you are the prettiest girl,, then says of this side of misisipieHe says you are the prettiest girl...of this side of misisipie word to word he says you are the prettiest girl....of misisipie he says of instead of on he should have said.You are the prettiest girl...on this side of misisipie But he says you are the prettiest girl...of this side of misisipie cuz he's drunk look how much times I made you read he says😅😂🤣👌🍷🍷",@iamhumanhuman2242,0,0,"[0.038833033, 0.07585446]"
I like vogoal hops out the police car smoking 🚬 they made it like the godfather scene also I like when Jonah calls vagoal faggoal when he's mad and why does no one mention that mclovin is no worst then his real name vogoal lol 😅😂🤣👌,@iamhumanhuman2242,0,0,"[-0.06875534, -0.023620086]"
very simillar to summertime saga game,@balanar15,0,0,"[-0.055369165, 0.021992316]"
Waste of time.....,@mdkh0900,0,0,"[0.005395044, -0.05879182]"
I wish I could watch this movie for the first time again,@billhuynh863,902,12,"[0.017879838, -0.01390164]"
That whistle cracked me up!,@dzezonja3558,7,0,"[-0.03045802, 0.009343749]"
Great movie.,@delrey874,1,1,"[-0.022979943, 0.010288538]"
I found this because of my birthday,@rickyli5682,1,0,"[-0.02685942, -0.012990858]"
Jonah hill is playing seth rogan as a teenager. Seth is literally seth. He cowrote the script.,@Bubu567,0,0,"[-0.0014263126, -0.018132282]"
- He looked like Eminem.- An M&M? So... circular?,@Chrisbajs,18,0,"[0.011022381, -0.04974712]"
Bring me MY Scanners!!!,@CartwheelsInTheMoonlight,1,0,"[0.057833787, -0.07113673]"
so we have an African Ju wearing a hoodie,@lustrals1273,0,0,"[-0.038758993, -0.03450954]"
I remember my brothers and I quoting this trailer a lot before we even seen it. That’s how you know it’ was gonna be good haha.,@justinhopper5941,4,0,"[-0.023344295, 0.017301198]"
I’m about to watch the movie for the first time i’ll edit it what I think about it. EDIT: it was badass,@aidan1473,2,0,"[-0.039557815, -0.038292777]"
This trailer is a superb ad.,@jaydee2847,1,0,"[0.009638323, 0.0066012773]"
PANAMA PANAMAHUHUHUH  PANAMA!,@ohh_gee1094,0,0,"[-0.012168774, -0.022810431]"
Non Americans watching seniors trying to get some alcohol:🤣🤣🤣🤣,@oridavid1931,9,2,"[0.06669415, -0.017969036]"
“So he’s Jewish”,@toewsheggedal5788,7,0,"[0.0010186083, -0.057009283]"
cool,@christopherkopreski3797,0,0,"[-0.07372576, 0.042455982]"
"Amazing film, incredibly bad trailer",@andrewiangillies,3,0,"[-0.0061411546, -0.0028148715]"
These guys is the best,@onyongvegeance9777,1,0,"[-0.016122414, -0.010320229]"
"This movie is both overrated and underrated at the same time, but still a great film, it's a classic nonetheless.",@basedbattledroid3507,1,0,"[0.0007668075, -0.013529903]"
"Damn son, where’d you find this.",@StriderStryker,4,0,"[-0.058967866, -0.015285359]"
One of the best movies,@Rule1111,1,0,"[0.0284244, 0.0036721895]"
Any recent movies that can live up to the McKay-Apatow-Jonah-Seth-Franco mafia of the 2000s? Comedies these days are trash...,@TheAyushshah94,0,0,"[-0.016280238, -0.024473129]"
Hahaha,@Jake-lx8jl,0,0,"[-0.029898603, -0.044515096]"
Superbound brought me here,@PukiLynx,1,0,"[-0.034344263, 0.025793392]"
This is a certified cult classic now,@alkopappa,3,0,"[-0.043389935, -0.010125044]"
my chemical romance,@tonyrodgers8596,0,0,"[-0.05613875, 0.010218684]"
"The best high school movie,period.",@ltmmoviereviewsharrison3462,2,0,"[0.019214679, -0.008740481]"
My friend was surprised that i havent seen this movie. when i finally saw it i fell in love with it haha.,@girishframvik6313,8,0,"[-0.027781568, 0.004805986]"
“He was Jewish”😂😂😂😂😂,@juliand6836,2,0,"[0.019788451, -0.05347292]"
Best teen movie ever.,@varunbansal1917,0,0,"[0.019759828, -0.02109411]"
A classic among classics.,@SplinterAce,9,0,"[-0.010404443, 0.009209978]"
"My junior highschool year is now ""classic"". RIP",@epicmetod,15,0,"[-0.0023793655, -0.014369079]"
Daniela te amo,@dilanrodriguezcaro7892,0,0,"[-0.015247193, -0.0069405977]"
greatest comedy movie of all time,@Martsnielson2,0,0,"[0.01887878, 0.017683584]"
Funniest movie ever. So cringily relatable.,@KaineHero,6,0,"[-0.0036635578, 0.0035554026]"
all i can think about when I see this movie is that they filmed it at my school,@mikayla4222,6,0,"[-0.045632623, -0.0021249289]"
I have a dvd of thisThe nostalgia :),@jplolol,12,0,"[-0.029300706, -0.005677201]"
Who else can listen to Mclovin all day 😂,@roberts2231,9,0,"[-0.081540905, -0.020325659]"
1:09 omg that’s the old version of Richie Tozier in IT chapter 2,@justwatch1141,6,0,"[-0.03612226, -0.016813567]"
They don't make em like this anymore,@shimshamjunior,1,0,"[-0.020559976, -0.043340217]"
kk muito bom,@felipesousa2824,1,0,"[-0.036397647, 0.0060667973]"
This is the best friendship since Shawshank Redemption. And I mean that lol.,@TheStranger513,23,0,"[-0.010574342, -0.028388657]"
Now that's a good trailer,@kalle3879,1,0,"[-0.020796522, -0.03144779]"
"Even after all these years, it's still funnier and funnier every-time I watch it.",@PieYouTube314,40,1,"[0.0076546557, -0.0034018315]"
Las voces en español suenan mas super cool,@zerozone1617,0,0,"[-0.038573537, 0.003989255]"
Seth loves Evan,@Pickle_rick13,0,0,"[-0.01288121, -0.07268318]"
The best movie ever,@charlesbeauregard7552,0,1,"[0.04073216, -0.03251472]"
It's a cult movie!,@markusz_,0,0,"[-0.036108635, -0.019947264]"
Project X: Hold my Beer,@jayronmoya5859,0,0,"[-0.03792969, 0.003908693]"
0:19,@sharonsharon6854,5,0,"[-0.06611187, -0.0008197477]"
"I remember watching this at the cinemas, I laughed through out the entire movie. Heck the whole theater was crying from laughing too much.",@thegreatone9022,236,1,"[0.0117960675, -0.0067102234]"
Anyone in 2020,@abhijeetpanmand7484,1,0,"[-0.032475054, 0.00044132542]"
q merda,@luttifn9715,2,0,"[-0.0036421197, 0.032913443]"
Very funny lol!,@mattbates6887,1,0,"[-0.039853826, -0.03250298]"
This remind me of Good Boys (2019),@JessieJamesTan,2,2,"[-0.07742312, 0.033871986]"
"I feel like this trailer spoils some of the best scenes in the film. If you haven't seen the film, just watch it already. Don't watch trailers or read reviews, just watch it, it's the greatest teen comedy of all time",@SamWood64,5,0,"[-0.008141573, 0.017928451]"
We can be that mistake😂😂😂,@emorywhite1413,5,0,"[0.0735601, 0.042655192]"
BEST MOVIE OF ALL TIME HISTORY 💯💯💯,@SulWorld1,18,0,"[0.03214691, 0.0023626634]"
Came here from Project X (2012),@matexhdchannel4193,1,0,"[-0.056349985, -0.022956137]"
Can someone recommend good movies?,@ilijadjurovic7446,1,4,"[0.024729583, -0.028978115]"
These type of movies never get old.,@keanucora4606,76,0,"[-0.034258984, -0.04159657]"
"0:17 ""bye..take care of those"" that line was not in the version i saw..",@ashish01997,10,0,"[0.029734524, 2.5701895e-06]"
Eu indico..podem assistir.,@vitortopcalcados3732,0,0,"[-0.020444162, -0.017164525]"
btech The Inbetweeners,@cozmiixx,0,0,"[-0.009619482, -0.011677958]"
Why Is Scott Pilgrim There?,@MayEReyes-rk4ec,4,0,"[0.010023366, -0.029519472]"
I’ll never get bored whatching Superbad,@theworldbegoinup3289,16,0,"[-0.046498157, 0.003882229]"
0:19,@sharonsharon6854,4,0,"[-0.06611187, -0.0008197477]"
I can’t even count the times I’ve watched this movie.. it’s just SO GOOD!!,@brochetadepollo,125,0,"[0.019595897, -0.020514434]"
The best movie then you are high,@Bandera123,0,0,"[0.028382184, -0.029083727]"
"Jonah Hill gets to kiss Emma Stone, dang",@nghiaphan__,10,0,"[0.001443644, -0.078415655]"
Such a classic,@mirandafelty8525,4,0,"[-0.0520056, -0.025547747]"
0:19,@sharonsharon6854,0,0,"[-0.06611187, -0.0008197477]"
Jeez this trailer is terrible; it basically gives away the entire movie and all the jokes in it,@benparsons4979,0,0,"[-0.005627757, -0.013744273]"
Seth lookin like jimmy from GTA and y'all know it.,@akuma3278,5,0,"[-0.017608061, -0.034957595]"
Watched it in 13 still watch it once a f*ckin month,@bootysnatcher9263,2,0,"[-0.02902687, -0.040954567]"
I love this movie,@kboytv9680,1,0,"[-0.03762431, -0.020177957]"
Did anyone else though this movie was called Superbad,@theamerican3785,1,0,"[-0.02412244, 0.0081902845]"
